时间,质押数量,质押一天改变数量,质押总改变数量,holders,holders一天改变数量,holders总改变数量
2020-12-20,4064,0,0,254,0,0
2020-12-21,4064,0,0,280,26,26
2020-12-22,5664,1600,1600,365,85,111
2020-12-23,7616,1952,3552,390,25,136
2020-12-24,8128,512,4064,423,33,169
2020-12-25,11680,3552,7616,499,76,245
2020-12-26,11936,256,7872,576,77,322
2020-12-27,15392,3456,11328,615,39,361
2020-12-28,15392,0,11328,654,39,400
2020-12-29,15840,448,11776,725,71,471
2020-12-30,16608,768,12544,754,29,500
2020-12-31,16608,0,12544,790,36,536
2021-01-01,16864,256,12800,809,19,555
2021-01-02,17120,256,13056,824,15,570
2021-01-03,17120,0,13056,835,11,581
2021-01-04,17120,0,13056,851,16,597
2021-01-05,17664,544,13600,906,55,652
2021-01-06,18272,608,14208,953,47,699
2021-01-07,18880,608,14816,996,43,742
2021-01-08,20256,1376,16192,1120,124,866
2021-01-09,21536,1280,17472,1278,158,1024
2021-01-10,22400,864,18336,1405,127,1151
2021-01-11,26048,3648,21984,1444,39,1190
2021-01-12,27936,1888,23872,1525,81,1271
2021-01-13,46976,19040,42912,1649,124,1395
2021-01-14,62912,15936,58848,1743,94,1489
2021-01-15,66816,3904,62752,1824,81,1570
2021-01-16,67584,768,63520,1881,57,1627
2021-01-17,67584,0,63520,1943,62,1689
2021-01-18,71328,3744,67264,1987,44,1733
2021-01-19,73984,2656,69920,2032,45,1778
2021-01-20,76480,2496,72416,2070,38,1816
2021-01-21,76928,448,72864,2097,27,1843
2021-01-22,76928,0,72864,2124,27,1870
2021-01-23,88736,11808,84672,2164,40,1910
2021-01-24,90112,1376,86048,2233,69,1979
2021-01-25,91136,1024,87072,2276,43,2022
2021-01-26,95328,4192,91264,2329,53,2075
2021-01-27,97152,1824,93088,2374,45,2120
2021-01-28,100160,3008,96096,2413,39,2159
2021-01-29,100160,0,96096,2437,24,2183
2021-01-30,100416,256,96352,2487,50,2233
2021-01-31,105344,4928,101280,2543,56,2289
2021-02-01,108192,2848,104128,2599,56,2345
2021-02-02,116512,8320,112448,2769,170,2515
2021-02-03,125248,8736,121184,2842,73,2588
2021-02-04,126496,1248,122432,2876,34,2622
2021-02-05,128480,1984,124416,2916,40,2662
2021-02-06,131456,2976,127392,2970,54,2716
2021-02-07,135712,4256,131648,3022,52,2768
2021-02-08,137472,1760,133408,3064,42,2810
2021-02-09,143872,6400,139808,3095,31,2841
2021-02-10,143872,0,139808,3123,28,2869
2021-02-11,144128,256,140064,3176,53,2922
2021-02-12,144128,0,140064,3216,40,2962
2021-02-13,145408,1280,141344,3255,39,3001
2021-02-14,160768,15360,156704,3301,46,3047
2021-02-15,160768,0,156704,3344,43,3090
2021-02-16,160768,0,156704,3380,36,3126
2021-02-17,164640,3872,160576,3419,39,3165
2021-02-18,177312,12672,173248,3459,40,3205
2021-02-19,179392,2080,175328,3487,28,3233
2021-02-20,180000,608,175936,3523,36,3269
2021-02-21,180352,352,176288,3579,56,3325
2021-02-22,180352,0,176288,3595,16,3341
2021-02-23,180352,0,176288,3612,17,3358
2021-02-24,180800,448,176736,3632,20,3378
2021-02-25,180800,0,176736,3671,39,3417
2021-02-26,181184,384,177120,3699,28,3445
2021-02-27,181568,384,177504,3739,40,3485
2021-02-28,181888,320,177824,3775,36,3521
2021-03-01,181888,0,177824,3822,47,3568
2021-03-02,182144,256,178080,3858,36,3604
2021-03-03,182144,0,178080,3894,36,3640
2021-03-04,182656,512,178592,3925,31,3671
2021-03-05,182656,0,178592,3951,26,3697
2021-03-06,182912,256,178848,3991,40,3737
2021-03-07,182912,0,178848,4021,30,3767
2021-03-08,183232,320,179168,4073,52,3819
2021-03-09,183488,256,179424,4108,35,3854
2021-03-10,184064,576,180000,4132,24,3878
2021-03-11,184448,384,180384,4155,23,3901
2021-03-12,184832,384,180768,4169,14,3915
2021-03-13,185120,288,181056,4185,16,3931
2021-03-14,185120,0,181056,4198,13,3944
2021-03-15,185120,0,181056,4217,19,3963
2021-03-16,185120,0,181056,4232,15,3978
2021-03-17,185120,0,181056,4243,11,3989
2021-03-18,185120,0,181056,4254,11,4000
2021-03-19,185376,256,181312,4264,10,4010
2021-03-20,185376,0,181312,4276,12,4022
2021-03-21,185664,288,181600,4291,15,4037
2021-03-22,185664,0,181600,4310,19,4056
2021-03-23,186016,352,181952,4320,10,4066
2021-03-24,186016,0,181952,4335,15,4081
2021-03-25,186272,256,182208,4355,20,4101
2021-03-26,186560,288,182496,4372,17,4118
2021-03-27,186560,0,182496,4389,17,4135
2021-03-28,186560,0,182496,4399,10,4145
2021-03-29,186816,256,182752,4426,27,4172
2021-03-30,187200,384,183136,4436,10,4182
2021-03-31,187584,384,183520,4447,11,4193
2021-04-01,188096,512,184032,4462,15,4208
2021-04-02,188096,0,184032,4477,15,4223
2021-04-03,188352,256,184288,4497,20,4243
2021-04-04,188384,32,184320,4527,30,4273
2021-04-05,189408,1024,185344,4546,19,4292
2021-04-06,190816,1408,186752,4558,12,4304
2021-04-07,191424,608,187360,4579,21,4325
2021-04-08,191424,0,187360,4602,23,4348
2021-04-09,191712,288,187648,4621,19,4367
2021-04-10,199904,8192,195840,4653,32,4399
2021-04-11,203232,3328,199168,4673,20,4419
2021-04-12,219360,16128,215296,4692,19,4438
2021-04-13,219360,0,215296,4717,25,4463
2021-04-14,219360,0,215296,4730,13,4476
2021-04-15,224416,5056,220352,4757,27,4503
2021-04-16,224416,0,220352,4773,16,4519
2021-04-17,224416,0,220352,4790,17,4536
2021-04-18,224416,0,220352,4807,17,4553
2021-04-19,229216,4800,225152,4822,15,4568
2021-04-20,234016,4800,229952,4829,7,4575
2021-04-21,243616,9600,239552,4841,12,4587
2021-04-22,247776,4160,243712,4864,23,4610
2021-04-23,247776,0,243712,4889,25,4635
2021-04-24,247776,0,243712,4930,41,4676
2021-04-25,248512,736,244448,4974,44,4720
2021-04-26,248768,256,244704,5027,53,4773
2021-04-27,249024,256,244960,5064,37,4810
2021-04-28,252064,3040,248000,5117,53,4863
2021-04-29,252576,512,248512,5185,68,4931
2021-04-30,253248,672,249184,5255,70,5001
2021-05-01,254016,768,249952,5344,89,5090
2021-05-02,254528,512,250464,5405,61,5151
2021-05-03,255328,800,251264,5469,64,5215
2021-05-04,255840,512,251776,5526,57,5272
2021-05-05,268640,12800,264576,5592,66,5338
2021-05-06,270912,2272,266848,5653,61,5399
2021-05-07,304896,33984,300832,5709,56,5455
2021-05-08,328512,23616,324448,5788,79,5534
2021-05-09,329536,1024,325472,5843,55,5589
2021-05-10,331072,1536,327008,5883,40,5629
2021-05-11,331584,512,327520,5900,17,5646
2021-05-12,331840,256,327776,5936,36,5682
2021-05-13,331840,0,327776,5976,40,5722
2021-05-14,331840,0,327776,6023,47,5769
2021-05-15,338880,7040,334816,6062,39,5808
2021-05-16,341440,2560,337376,6113,51,5859
2021-05-17,342976,1536,338912,6163,50,5909
2021-05-18,342976,0,338912,6227,64,5973
2021-05-19,346176,3200,342112,6262,35,6008
2021-05-20,346176,0,342112,6316,54,6062
2021-05-21,346176,0,342112,6380,64,6126
2021-05-22,375936,29760,371872,6449,69,6195
2021-05-23,404736,28800,400672,6505,56,6251
2021-05-24,407328,2592,403264,6596,91,6342
2021-05-25,416320,8992,412256,6698,102,6444
2021-05-26,416320,0,412256,6792,94,6538
2021-05-27,436096,19776,432032,6878,86,6624
2021-05-28,436384,288,432320,6938,60,6684
2021-05-29,437248,864,433184,7011,73,6757
2021-05-30,437952,704,433888,7083,72,6829
2021-05-31,444608,6656,440544,7164,81,6910
2021-06-01,444608,0,440544,7280,116,7026
2021-06-02,444608,0,440544,7384,104,7130
2021-06-03,450368,5760,446304,7465,81,7211
2021-06-04,451808,1440,447744,7550,85,7296
2021-06-05,451808,0,447744,7634,84,7380
2021-06-06,451808,0,447744,7738,104,7484
2021-06-07,456032,4224,451968,7833,95,7579
2021-06-08,457344,1312,453280,7899,66,7645
2021-06-09,458400,1056,454336,7978,79,7724
2021-06-10,458400,0,454336,8070,92,7816
2021-06-11,463200,4800,459136,8143,73,7889
2021-06-12,468000,4800,463936,8236,93,7982
2021-06-13,489120,21120,485056,8333,97,8079
2021-06-14,491904,2784,487840,8425,92,8171
2021-06-15,493920,2016,489856,8531,106,8277
2021-06-16,498720,4800,494656,8620,89,8366
2021-06-17,514112,15392,510048,8694,74,8440
2021-06-18,516320,2208,512256,8753,59,8499
2021-06-19,523456,7136,519392,8825,72,8571
2021-06-20,523456,0,519392,8903,78,8649
2021-06-21,526816,3360,522752,8943,40,8689
2021-06-22,527072,256,523008,8980,37,8726
2021-06-23,527072,0,523008,9066,86,8812
2021-06-24,527072,0,523008,9106,40,8852
2021-06-25,530496,3424,526432,9167,61,8913
2021-06-26,531008,512,526944,9210,43,8956
2021-06-27,531008,0,526944,9261,51,9007
2021-06-28,531008,0,526944,9318,57,9064
2021-06-29,542816,11808,538752,9374,56,9120
2021-06-30,547424,4608,543360,9430,56,9176
2021-07-01,573632,26208,569568,9487,57,9233
2021-07-02,573632,0,569568,9562,75,9308
2021-07-03,573632,0,569568,9628,66,9374
