时间,质押数量,质押一天改变数量,质押总改变数量,holders,holders一天改变数量,holders总改变数量
2020-12-21,4064,0,0,1,0,0
2020-12-22,5664,1600,1600,1,0,0
2020-12-23,7616,1952,3552,2,1,1
2020-12-24,8128,512,4064,4,2,3
2020-12-25,11680,3552,7616,0,-4,-1
2020-12-26,11936,256,7872,0,0,-1
2020-12-27,15392,3456,11328,0,0,-1
2020-12-28,15392,0,11328,0,0,-1
2020-12-29,15840,448,11776,0,0,-1
2020-12-30,16608,768,12544,0,0,-1
2020-12-31,16608,0,12544,0,0,-1
2021-01-01,16864,256,12800,0,0,-1
2021-01-02,17120,256,13056,0,0,-1
2021-01-03,17120,0,13056,0,0,-1
2021-01-04,17120,0,13056,0,0,-1
2021-01-05,17664,544,13600,0,0,-1
2021-01-06,18272,608,14208,0,0,-1
2021-01-07,18880,608,14816,0,0,-1
2021-01-08,20256,1376,16192,0,0,-1
2021-01-09,21536,1280,17472,0,0,-1
2021-01-10,22400,864,18336,0,0,-1
2021-01-11,26048,3648,21984,0,0,-1
2021-01-12,27936,1888,23872,0,0,-1
2021-01-13,46976,19040,42912,0,0,-1
2021-01-14,62912,15936,58848,0,0,-1
2021-01-15,66816,3904,62752,0,0,-1
2021-01-16,67584,768,63520,0,0,-1
2021-01-17,67584,0,63520,0,0,-1
2021-01-18,71328,3744,67264,0,0,-1
2021-01-19,73984,2656,69920,0,0,-1
2021-01-20,76480,2496,72416,0,0,-1
2021-01-21,76928,448,72864,0,0,-1
2021-01-22,76928,0,72864,0,0,-1
2021-01-23,88736,11808,84672,0,0,-1
2021-01-24,90112,1376,86048,0,0,-1
2021-01-25,91136,1024,87072,0,0,-1
2021-01-26,95328,4192,91264,0,0,-1
2021-01-27,97152,1824,93088,0,0,-1
2021-01-28,100160,3008,96096,0,0,-1
2021-01-29,100160,0,96096,0,0,-1
2021-01-30,100416,256,96352,0,0,-1
2021-01-31,105344,4928,101280,0,0,-1
2021-02-01,108192,2848,104128,0,0,-1
2021-02-02,116512,8320,112448,0,0,-1
2021-02-03,125248,8736,121184,0,0,-1
2021-02-04,126496,1248,122432,0,0,-1
2021-02-05,128480,1984,124416,0,0,-1
2021-02-06,131456,2976,127392,0,0,-1
2021-02-07,135712,4256,131648,0,0,-1
2021-02-08,137472,1760,133408,0,0,-1
2021-02-09,143872,6400,139808,0,0,-1
2021-02-10,143872,0,139808,0,0,-1
2021-02-11,144128,256,140064,0,0,-1
2021-02-12,144128,0,140064,0,0,-1
2021-02-13,145408,1280,141344,0,0,-1
2021-02-14,160768,15360,156704,0,0,-1
2021-02-15,160768,0,156704,0,0,-1
2021-02-16,160768,0,156704,0,0,-1
2021-02-17,164640,3872,160576,0,0,-1
2021-02-18,177312,12672,173248,0,0,-1
2021-02-19,179392,2080,175328,0,0,-1
2021-02-20,180000,608,175936,0,0,-1
2021-02-21,180352,352,176288,0,0,-1
2021-02-22,180352,0,176288,0,0,-1
2021-02-23,180352,0,176288,0,0,-1
2021-02-24,180800,448,176736,0,0,-1
2021-02-25,180800,0,176736,0,0,-1
2021-02-26,181184,384,177120,0,0,-1
2021-02-27,181568,384,177504,0,0,-1
2021-02-28,181888,320,177824,0,0,-1
2021-03-01,181888,0,177824,0,0,-1
2021-03-02,182144,256,178080,0,0,-1
2021-03-03,182144,0,178080,0,0,-1
2021-03-04,182656,512,178592,0,0,-1
2021-03-05,182656,0,178592,0,0,-1
2021-03-06,182912,256,178848,0,0,-1
2021-03-07,182912,0,178848,0,0,-1
2021-03-08,183232,320,179168,0,0,-1
